sample	celltype
X1772058147_F02	oligos
X1772096158_E08	oligos
X1772096144_A05	oligos
X1772092004_A05	oligos
X1772092004_B06	oligos
X1772096173_F02	oligos
X1772092004_B11	oligos
X1772078030_A08	oligos
X1772092004_B08	oligos
X1772092009_B06	oligos
X1772078019_E11	oligos
X1772089187_F06	oligos
X1772078018_B03	oligos
X1772089188_E11	oligos
X1772089187_B10	oligos
X1772089188_E01	oligos
X1772096099_H04	oligos
X1772096162_H02	oligos
X1772096135_E10	oligos
X1772096102_A03	oligos
X1772096165_E06	oligos
X1772096165_B05	oligos
X1772096138_A09	oligos
X1772092013_E04	oligos
X1772096101_G05	oligos
X1772084021_G10	oligos
X1772078028_C08	oligos
X1772084017_H10	oligos
X1772096141_E05	oligos
X1772078017_A06	oligos
X1772075304_A06	oligos
X1772078018_B12	oligos
X1772092008_A11	oligos
X1772078030_C07	oligos
X1772096144_H11	oligos
X1772078019_E10	oligos
X1772078030_D01	oligos
X1772096162_D11	oligos
X1772096168_A07	oligos
X1772078018_H01	oligos
X1772078018_D07	oligos
X1772078016_E11	oligos
X1772078013_A08	oligos
X1772078013_E08	oligos
X1772096145_C11	oligos
X1772096126_B01	oligos
X1772096168_F04	oligos
X1772078013_H07	oligos
X1772092008_E02	oligos
X1772096097_F04	oligos
X1772078019_H04	oligos
X1772078018_D10	oligos
X1772078022_B11	oligos
X1772089196_E01	oligos
X1772075310_A12	oligos
X1772096162_G01	oligos
X1772078014_C09	oligos
X1772096139_B01	oligos
X1772078016_B05	oligos
X1772089186_E10	oligos
X1772096126_E02	oligos
X1772096096_F04	oligos
X1772096099_B10	oligos
X1772096101_A03	oligos
X1772096132_C06	oligos
X1772096134_E12	oligos
X1772096141_D10	oligos
X1772084014_B01	oligos
X1772084017_A05	oligos
X1772096097_F03	oligos
X1772096097_B10	oligos
X1772096138_B01	oligos
X1772096139_A07	oligos
X1772096140_G04	oligos
X1772096141_F09	oligos
X1772096175_B11	oligos
X1772078028_C06	oligos
X1772089194_B01	oligos
X1772096099_E04	oligos
X1772096100_A06	oligos
X1772096100_A09	oligos
X1772096132_A07	oligos
X1772096133_A03	oligos
X1772096134_D10	oligos
X1772096138_E07	oligos
X1772096162_D05	oligos
X1772096172_E10	oligos
X1772096173_B06	oligos
X1772084014_C09	oligos
X1772084021_A11	oligos
X1772075304_D07	oligos
X1772078028_H03	oligos
X1772078031_F11	oligos
X1772089190_A01	oligos
X1772092004_H05	oligos
X1772096103_F12	oligos
X1772096135_G12	oligos
X1772096133_H02	oligos
X1772096134_G05	oligos
X1772096171_A08	oligos
X1772096172_G11	oligos
X1772096173_H08	oligos
X1772075317_C01	oligos
X1772075317_B02	oligos
X1772075317_C07	oligos
X1772075304_C05	oligos
X1772075310_B09	oligos
X1772078029_B04	oligos
X1772078029_B11	oligos
X1772092013_G02	oligos
X1772089190_F12	oligos
X1772089186_A08	oligos
X1772096097_B05	oligos
X1772096097_D05	oligos
X1772096100_B02	oligos
X1772096100_B04	oligos
X1772096100_C05	oligos
X1772096100_H10	oligos
X1772096103_C12	oligos
X1772096132_H03	oligos
X1772096132_B09	oligos
X1772096132_A12	oligos
X1772096135_B06	oligos
X1772096133_C01	oligos
X1772096134_A09	oligos
X1772096136_H06	oligos
X1772096138_F01	oligos
X1772096138_E02	oligos
X1772096138_G02	oligos
X1772096138_A06	oligos
X1772096138_H11	oligos
X1772096139_E01	oligos
X1772096139_E02	oligos
X1772096139_E04	oligos
X1772096139_D07	oligos
X1772096139_B11	oligos
X1772096141_E03	oligos
X1772096141_B10	oligos
X1772096141_A11	oligos
X1772096165_A03	oligos
X1772096172_A08	oligos
X1772096173_H05	oligos
X1772096173_E08	oligos
X1772096175_B01	oligos
X1772084014_D12	oligos
X1772084017_G02	oligos
X1772078028_E05	oligos
X1772078031_A12	oligos
X1772078017_H02	oligos
X1772096100_F01	oligos
X1772096100_E03	oligos
X1772096141_A01	oligos
X1772096165_C04	oligos
X1772096165_A09	oligos
X1772096100_C06	oligos
X1772096141_B01	oligos
X1772096138_D03	oligos
X1772096102_G01	oligos
