sample	celltype
A01101401	Vip
A01101402	Vip
A01101403	L4
A01101404	Vip
A01101405	Vip
A01101406	L2/3
A01101407	L2
A01101408	L2/3
A02271433	L4
A02271434	L2
A02271435	Pvalb
A02271436	L2/3
A02271437	Vip
A02271438	L2/3
A02271439	Vip
A02271440	Ndnf
A12101401	Vip
A12101402	Vip
A12101403	Vip
A12101404	Vip
A12101405	Vip
A12101406	Vip
A12101407	L4
A12101408	Vip
A12101409	Vip
A12101410	Vip
A12101411	L5a
A12101412	SMC
A12101413	Vip
A12101414	L2
A12101415	L4
A12101416	L4
A12101417	L2/3
A12101418	Vip
A12101419	Vip
A12101420	Ndnf
A12101421	Vip
A12101422	Vip
A12101423	L2/3
A12101424	Vip
A12101425	Ndnf
A12101426	L2/3
A12101427	Vip
A12101428	Ndnf
A12101429	L4
A12101430	Glia
A12101431	L4
A12101432	Glia
A12101433	Vip
A12101434	Glia
A12101435	L2/3
A12101436	Vip
A12101437	Glia
A12101438	Vip
A12101439	Vip
A12101440	Vip
A12101441	Vip
A12101442	Glia
A12101443	Vip
A12101444	Vip
A12101445	SMC
A12101446	Vip
A12101447	Vip
A12101448	Ndnf
B06061401	L4
B06061402	L4
B06061403	L4
B06061404	L4
B06061405	L4
B06061406	L4
B06061408	L4
B06061409	L5a
B06061410	L5a
B06061411	L4
B06061412	L4
B06061413	L4
B06061414	L4
B06061415	L4
B06061416	L4
B07161401	L4
B07161402	L4
B07161403	L4
B07161404	L4
B07161405	L4
B07161406	L4
B07161407	L4
B07161408	L4
B13090617	L4
B13090618	L4
B13090619	L4
B13090620	L4
B13090621	L4
B13090622	L4
B13090623	L4
B13090624	L4
B13121001	L4
B13121002	L4
B13121003	L4
B13121005	L4
B13121006	L4
B13121007	L4
B13121008	L4
B14042525	Glia
B14042526	L5
B14042527	L5a
B14042528	L5a
B14042529	L5a
B14042530	L5a
B14042531	L5a
B14042532	L5a
B14042533	Glia
B14042534	L5a
B14042535	L5a
B14042536	L5a
B14042537	L5a
B14042538	L5a
B14042539	L5a
B14042540	Glia
C01101441	L4
C01101442	L4
C01101443	L4
C01101444	L4
C01101445	L2/3
C01101446	L4
C01101447	L2/3
C01101448	L4
C02061549n	Vip
C02061550n	Glia
C02061551n	Glia
C02061552n	Glia
C02061553n	Glia
C02061554n	Glia
C02061555n	Glia
C02061556n	L2/3
C02061557n	Pvalb
C02061558n	Endothelial
C02061559n	Glia
C02061560n	Glia
C02061561n	Glia
C02061562n	L2/3
C02061563n	Glia
C06041401	L2/3
C06041402	L4
C06041403	L4
C06041404	L4
C06041405	L4
C06041406	L4
C06041407	L2/3
C06041408	L2/3
C06041409	L4
C06041410	L4
C06041411	L2/3
C06041412	L4
C06041413	L4
C06041414	L4
C06041415	L4
C06041416	L4
C06041417	L2/3
C06041418	L4
C06041419	L2/3
C06041420	L2/3
C06041421	L4
C06041422	L4
C06041423	L2/3
C06041424	L4
C06041425	L4
C06041426	L2/3
C06041427	L4
C06041428	L4
C06041429	L4
C06041430	L2/3
C06041431	L4
C06041432	L4
C06051401	L2/3
C06051402	L4
C06051403	L4
C06051404	L4
C06051405	L2/3
C06051406	L2/3
C06051407	L4
C06051408	L4
C07211401	L2
C07211402	L2/3
C07211403	L4
C07211404	L4
C07211405	L4
C07211406	L2/3
C07211407	L4
C07211408	L4
C07211409	L2/3
C07211410	L4
C07211411	L2/3
C07211412	L2/3
C07211413	L4
C07211414	L2/3
C07211415	Pvalb
C07211416	L4
C07211417	L4
C07211418	L2/3
C07211419	L4
C07211420	L5a
C07211421	L4
C07211422	L4
C07211423	L2/3
C07211424	Sst
C09111417	L4
C09111418	L4
C09111419	L5a
C09111420	L4
C09111421	L2/3
C09111422	L2/3
C09111423	L2/3
C09111424	L4
C09111428	L2/3
C09111429	L4
C09111430	L4
C09111431	L2/3
C09111432	L4
C09111433	Ndnf
C09111434	Ndnf
C09111435	L2
C09111436	L4
C09111438	L2/3
C09111439	L4
C09111440	L2/3
C09111441	L4
C09111442	L2/3
C09111443	L2/3
C09111444	L2/3
C09111445	L2/3
C09111446	Sst
C12181417	L2/3
C12181418	L2/3
C12181419	L2/3
C12181420	L2/3
C12181421	L2/3
C12181422	L2/3
C12181423	L2/3
C12181424	L2/3
C12181425	L2/3
C12181426	L2/3
C12181427	L2/3
C12181428	L2/3
C12181429	L2/3
C12181430	L2/3
C12181431	L2/3
C12181432	L2/3
C13090625	L2/3
C13090626	L2/3
C13090627	L2/3
C13090628	L2/3
C13090629	L2/3
C13090630	L2/3
C13090631	L2/3
C13090632	L2/3
Ct02061539	SMC
Ct02061540	Endothelial
Ct02061541	SMC
Ct02061542	SMC
Ct02061543	Endothelial
Ct02061544	Endothelial
Ct02061545	Endothelial
Ct02061546	Endothelial
Ct02061547	SMC
Ct02061548	SMC
Ct12181401	L6b
Ct12181402	L6b
Ct12181403	L6b
Ct12181404	L6b
Ct12181406	L6b
Ct12181407	L6b
Ct12181408	L6b
Ct12181410	L6b
Ct12181411	L6b
Ct12181412	L6b
Ct12181413	L6b
Ct12181414	L6b
Ct12181416	L6b
D08281408	Vip
D08281409	Sncg
D08281410	Ndnf
D08281411	Pvalb
D08281412	Igtp
D08281413	Ndnf
D08281414	Sncg
D08281415	Sst
D08281416	Pvalb
D08281417	Vip
D08281418	Pvalb
D08281419	Glia
D08281420	Pvalb
D09111401	Vip
D09111402	Vip
D09111403	Glia
D09111404	Sst
D09111405	Ndnf
D09111406	Vip
D09111407	Ndnf
D09111408	Vip
D09111409	Vip
D09111410	Vip
D09111411	Glia
D09111412	Ndnf
D09111413	Ndnf
D09111414	Igtp
D09111415	Pvalb
D09111416	Vip
D09121433	Glia
D09121434	Sncg
D09121435	Ndnf
D09121438	Vip
D09121439	Vip
D09121440	Vip
D09121441	Ndnf
D09121442	Sst
D09121443	Vip
D09121444	Glia
D09121445	Ndnf
D09121446	Glia
D09121447	L2
D09121448	Pvalb
D10011405	Glia
D10011406	Vip
D10011407	Vip
D10011408	Pvalb
D10011409	Ndnf
D10011410	Ndnf
D10011411	L2/3
D10011413	L2
D10011414	Vip
D10011415	Ndnf
D10011417	Ndnf
D10011418	Pvalb
D10011419	Ndnf
D10011420	Pvalb
D10011421	Pvalb
D10011422	Ndnf
D10011423	Vip
D10011424	Pvalb
D10011425	Ndnf
D10011426	Vip
D10011427	Ndnf
D10011428	Pvalb
D10011429	L2/3
D10011430	Ndnf
D10011431	Sst
D10011432	Ndnf
D10021425	Vip
D10021426	Pvalb
D10021427	Sst
D10021428	Ndnf
D10021435	Pvalb
D10021436	Pvalb
D10021437	Ndnf
D10021438	Glia
F08041419	Glia
F08211421	L2
F08211422	Glia
F08211423	Glia
F08211424	Glia
F08211425	Glia
F08211426	L2/3
F08211427	L2/3
F08211428	Glia
F08211429	L2
F08211430	Glia
F08211431	Glia
F08211432	Glia
F08211433	Glia
F08211434	Glia
F08211435	Glia
F08211436	Glia
F08211437	Glia
F08211438	Glia
G01131501	Pvalb
G01131502	Pvalb
G01131504	Pvalb
G01131505	Pvalb
G01131506	Pvalb
G01131507	Pvalb
G01131508	Pvalb
G01131509	Pvalb
G01131510	Pvalb
G01131511	Pvalb
G01131512	Pvalb
G01131513	Pvalb
G01131514	Pvalb
G01131515	Pvalb
G01131516	Pvalb
G01131517	Pvalb
G01131518	Pvalb
G01131519	Pvalb
G01131520	Pvalb
G01131521	Pvalb
G01131522	Pvalb
G01131523	Pvalb
G01131524	Pvalb
G01131526	Pvalb
G01131527	Pvalb
G01131528	Pvalb
G01131529	Pvalb
G01131530	Pvalb
G01131531	Pvalb
G01131532	Pvalb
G01131534	L5b
G01131535	Pvalb
G01131536	Pvalb
G01131537	Pvalb
G01131538	Pvalb
G01131539	Pvalb
G01131540	Pvalb
G01131541	Pvalb
G01131542	Pvalb
G01131543	Pvalb
G01131544	Pvalb
G01131545	Pvalb
G01131546	Pvalb
G01131547	Pvalb
G08041425	Pvalb
G08041426	Pvalb
G08041427	Pvalb
G08041428	Pvalb
G08041429	Pvalb
G08041430	Pvalb
G08041431	Pvalb
G08041432	Pvalb
G08041433	Pvalb
G08041434	Pvalb
G08041435	Pvalb
G08041436	Pvalb
G08041438	Pvalb
G08041439	Pvalb
G08041440	Pvalb
G08041441	Pvalb
G08041442	Pvalb
G08041443	Pvalb
G08041444	Pvalb
G08041445	Pvalb
G08041446	Pvalb
G08041447	Pvalb
G08041448	Pvalb
G08051449	Pvalb
G08051450	Pvalb
G08051451	Pvalb
G08051452	Pvalb
G08051453	Pvalb
G08051454	Pvalb
G08051457	Pvalb
G08051458	Pvalb
G08051459	Pvalb
G08051460	Pvalb
G08051461	Pvalb
G08051462	Pvalb
G08051463	Pvalb
G08051465	Pvalb
G08051466	Pvalb
G08051467	Pvalb
G08051468	Pvalb
G08051469	Pvalb
G08051470	Pvalb
G08051471	Pvalb
H08041401	Ndnf
H08041402	Ndnf
H08041403	Vip
H08041404	Vip
H08041405	Ndnf
H08041406	Vip
H08041407	Vip
H08041408	Ndnf
H08041409	Ndnf
H08041410	Ndnf
H08041411	Ndnf
H08041412	Ndnf
H08041413	Vip
H08041414	Vip
H08041415	Ndnf
H08041416	Ndnf
H08041417	Ndnf
H08041418	Ndnf
H08041419	Vip
H08041420	Vip
H08041421	Vip
H08041422	Ndnf
H08041423	Vip
H08041424	Ndnf
H08041425	Vip
H08041426	Ndnf
H08041427	Vip
H08041428	Ndnf
H08041429	Vip
H08041430	Ndnf
H08041431	Vip
H08041432	Ndnf
